Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.234;57;;60rounds;Yes;No;2;0.68973;0.85221;0.10858;0.12198;1.54194;Agent17PS2@76;Agent17Submit@77;0.6897326042523931;0.8522103358337141;0.6897326042523931;0.8522103358337141;0.8137599377253698;0.297476039939995;0.0;0.0;0.6897326042523931;0.8522103358337141;party1_utility.xml;party2_utility.xml
0.208;54;;60rounds;Yes;No;2;0.78508;0.88036;0.02380;0.04825;1.66544;Agent17PS@78;Agent17Submit@79;0.7850814176410983;0.880357579897316;0.7850814176410983;0.880357579897316;0.8655519497694224;0.33370066274624605;0.0;0.0;0.7850814176410983;0.880357579897316;party1_utility.xml;party2_utility.xml
0.197;52;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;Agent17Mu3@80;Agent17Submit@81;0.7848202254161079;0.9286081895317074;0.7848202254161079;0.9286081895317074;0.922189480548642;0.2999657188793692;0.0;0.0;0.7848202254161079;0.9286081895317074;party1_utility.xml;party2_utility.xml
0.198;48;;60rounds;Yes;No;2;0.84818;0.85656;0.00000;0.09595;1.70475;Agent17Mu2@82;Agent17Submit@83;0.848184722273863;0.8565603097412184;0.848184722273863;0.8565603097412184;0.9710094630056687;0.2702256107195675;0.0;0.0;0.848184722273863;0.8565603097412184;party1_utility.xml;party2_utility.xml
0.220;55;;60rounds;Yes;No;2;0.78508;0.90415;0.00000;0.02445;1.68924;Agent17Mu@84;Agent17Submit@85;0.7850814176410983;0.9041548500534133;0.7850814176410983;0.9041548500534133;0.8405838157944856;0.18629588559714486;0.0;0.0;0.7850814176410983;0.9041548500534133;party1_utility.xml;party2_utility.xml
0.203;52;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;Agent17X@86;Agent17Submit@87;0.7848202254161079;0.9286081895317074;0.7848202254161079;0.9286081895317074;0.922189480548642;0.23688617016672775;0.0;0.0;0.7848202254161079;0.9286081895317074;party1_utility.xml;party2_utility.xml
0.036;56;;60rounds;Yes;No;2;0.65835;0.94018;0.05982;0.12700;1.59853;BoulwareNegotiationParty@88;Agent17PS3@89;0.658352423925588;0.9401787899486579;0.658352423925588;0.9401787899486579;0.6410586701005507;0.8372831149781946;0.0;0.0;0.658352423925588;0.9401787899486579;party1_utility.xml;party2_utility.xml
0.038;59;;60rounds;Yes;No;2;0.77231;0.91213;0.01506;0.02069;1.68444;AgreeableAgent2018@90;Agent17PS3@91;0.772307985427408;0.9121320384936836;0.772307985427408;0.9121320384936836;0.8113262282601118;0.8609053289025667;0.0;0.0;0.772307985427408;0.9121320384936836;party1_utility.xml;party2_utility.xml
0.042;61;;60rounds;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;Agent17XNoStop@92;Agent17PS3@93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.259;61;;60rounds;Yes;No;2;0.67722;0.83573;0.12773;0.14214;1.51295;Agent17Submit@94;Agent17PS3@95;0.6772203642636933;0.8357341847956903;0.6772203642636933;0.8357341847956903;0.546335490471598;0.830668239583178;0.0;0.0;0.6772203642636933;0.8357341847956903;party1_utility.xml;party2_utility.xml
0.041;60;;60rounds;Yes;No;2;0.75506;0.80464;0.10394;0.12749;1.55970;Agent17PS3@96;Agent17PS3@97;0.7550577364334331;0.8046416066167466;0.7550577364334331;0.8046416066167466;0.8207543703317902;0.7795374088061999;0.0;0.0;0.7550577364334331;0.8046416066167466;party1_utility.xml;party2_utility.xml
0.039;57;;60rounds;Yes;No;2;0.72172;0.97620;0.00000;0.07904;1.69792;Agent17PS2@98;Agent17PS3@99;0.7217169207833432;0.9762027298439024;0.7217169207833432;0.9762027298439024;0.7917638333374589;0.9113014862325522;0.0;0.0;0.7217169207833432;0.9762027298439024;party1_utility.xml;party2_utility.xml
0.041;61;;60rounds;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;Agent17PS@100;Agent17PS3@101;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.041;61;;60rounds;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;Agent17Mu3@102;Agent17PS3@103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.044;59;;60rounds;Yes;No;2;0.72172;0.97620;0.00000;0.07904;1.69792;Agent17Mu2@104;Agent17PS3@105;0.7217169207833432;0.9762027298439024;0.7217169207833432;0.9762027298439024;0.7917638333374589;0.9113014862325522;0.0;0.0;0.7217169207833432;0.9762027298439024;party1_utility.xml;party2_utility.xml
0.041;60;;60rounds;Yes;No;2;0.68973;0.85221;0.10858;0.12198;1.54194;Agent17Mu@106;Agent17PS3@107;0.6897326042523931;0.8522103358337141;0.6897326042523931;0.8522103358337141;0.8137599377253698;0.7748747936044765;0.0;0.0;0.6897326042523931;0.8522103358337141;party1_utility.xml;party2_utility.xml
0.038;56;;60rounds;Yes;No;2;0.77231;0.91213;0.01506;0.02069;1.68444;Agent17X@108;Agent17PS3@109;0.772307985427408;0.9121320384936836;0.772307985427408;0.9121320384936836;0.8113262282601118;0.8609053289025667;0.0;0.0;0.772307985427408;0.9121320384936836;party1_utility.xml;party2_utility.xml
0.034;53;;60rounds;Yes;No;2;0.72172;0.97620;0.00000;0.07904;1.69792;BoulwareNegotiationParty@110;Agent17PS2@111;0.7217169207833432;0.9762027298439024;0.7217169207833432;0.9762027298439024;0.7917638333374589;0.9113014862325522;0.0;0.0;0.7217169207833432;0.9762027298439024;party1_utility.xml;party2_utility.xml
0.048;61;;60rounds;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;AgreeableAgent2018@112;Agent17PS2@113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
