sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.032;35;;60rounds;Yes;No;2;0.91347;0.94046;0.02350;0.02350;1.85393;BoulwareNegotiationParty@40;Agent17@41;0.913468179264608;0.9404593077714649;0.913468179264608;0.9404593077714649;0.9776242504311627;0.8414056985344162;0.0;0.0;0.913468179264608;0.9404593077714649;party3_utility.xml;party4_utility.xml
0.008;6;;60rounds;Yes;No;2;0.80023;1.00000;0.00000;0.14169;1.80023;ConcederNegotiationParty@42;Agent17@43;0.8002312433989486;1.0;0.8002312433989486;1.0;0.7708547286317844;0.9474522813844618;0.0;0.0;0.8002312433989486;1.0;party3_utility.xml;party4_utility.xml
0.038;36;;60rounds;Yes;No;2;0.91347;0.94046;0.02350;0.02350;1.85393;kawaii@44;Agent17@45;0.913468179264608;0.9404593077714649;0.913468179264608;0.9404593077714649;0.9776242504311627;0.8414056985344162;0.0;0.0;0.913468179264608;0.9404593077714649;party3_utility.xml;party4_utility.xml
0.034;38;;60rounds;Yes;No;2;0.91667;0.95796;0.00000;0.04321;1.87463;DrageKnight@46;Agent17@47;0.9579557861297675;0.916673418162162;0.9579557861297675;0.916673418162162;1.0;0.8792475493734132;0.0;0.0;0.9579557861297675;0.916673418162162;party3_utility.xml;party4_utility.xml
0.052;43;;60rounds;Yes;No;2;0.89653;0.90511;0.06017;0.06017;1.80164;Agent17@48;Agent17@49;0.8965320532239032;0.9051060334630198;0.8965320532239032;0.9051060334630198;0.7436817774532728;0.7382805025645874;0.0;0.0;0.8965320532239032;0.9051060334630198;party3_utility.xml;party4_utility.xml
0.028;52;;60rounds;Yes;No;2;0.68048;0.88092;0.12242;0.25731;1.56139;BoulwareNegotiationParty@50;BoulwareNegotiationParty@51;0.6804756946728912;0.8809186155429296;0.6804756946728912;0.8809186155429296;0.6299812643373854;0.8334901811336878;0.0;0.0;0.6804756946728912;0.8809186155429296;party1_utility.xml;party4_utility.xml
0.010;18;;60rounds;Yes;No;2;0.61379;0.95243;0.10632;0.32041;1.56622;ConcederNegotiationParty@52;BoulwareNegotiationParty@53;0.6137940633727111;0.9524282207813943;0.6137940633727111;0.9524282207813943;0.4939627700117808;0.9999999999999999;0.0;0.0;0.6137940633727111;0.9524282207813943;party1_utility.xml;party4_utility.xml
0.032;55;;60rounds;Yes;No;2;0.72645;0.78644;0.22645;0.24992;1.51289;kawaii@54;BoulwareNegotiationParty@55;0.7864379167602382;0.7264493409600401;0.7864379167602382;0.7264493409600401;0.8915704571767278;0.5750933752192758;0.0;0.0;0.7864379167602382;0.7264493409600401;party1_utility.xml;party4_utility.xml
0.043;56;;60rounds;Yes;No;2;0.69045;0.76725;0.26449;0.29038;1.45770;DrageKnight@56;BoulwareNegotiationParty@57;0.7672469801639158;0.6904520524043084;0.7672469801639158;0.6904520524043084;0.6654191327660832;0.49018692889064414;0.0;0.0;0.7672469801639158;0.6904520524043084;party1_utility.xml;party4_utility.xml
0.033;41;;60rounds;Yes;No;2;0.89578;0.94042;0.00000;0.03934;1.83620;Agent17@58;BoulwareNegotiationParty@59;0.8957816487337201;0.9404175859903591;0.8957816487337201;0.9404175859903591;0.7237475175150816;0.9039791245568084;0.0;0.0;0.8957816487337201;0.9404175859903591;party1_utility.xml;party4_utility.xml
0.009;16;;60rounds;Yes;No;2;0.77402;0.88153;0.12472;0.16307;1.65555;BoulwareNegotiationParty@60;ConcederNegotiationParty@61;0.8815255379239529;0.7740211201786458;0.8815255379239529;0.7740211201786458;1.0;0.5225456566037378;0.0;0.0;0.8815255379239529;0.7740211201786458;party1_utility.xml;party4_utility.xml
0.005;7;;60rounds;Yes;No;2;0.72139;0.96470;0.03435;0.21497;1.68609;ConcederNegotiationParty@62;ConcederNegotiationParty@63;0.7213939245251257;0.9646955534363922;0.7213939245251257;0.9646955534363922;0.7132555651235832;0.7922847457149255;0.0;0.0;0.7213939245251257;0.9646955534363922;party1_utility.xml;party4_utility.xml
0.009;16;;60rounds;Yes;No;2;0.77402;0.88153;0.12472;0.16307;1.65555;kawaii@64;ConcederNegotiationParty@65;0.8815255379239529;0.7740211201786458;0.8815255379239529;0.7740211201786458;1.0;0.5225456566037378;0.0;0.0;0.8815255379239529;0.7740211201786458;party1_utility.xml;party4_utility.xml
0.009;16;;60rounds;Yes;No;2;0.77402;0.88153;0.12472;0.16307;1.65555;DrageKnight@66;ConcederNegotiationParty@67;0.8815255379239529;0.7740211201786458;0.8815255379239529;0.7740211201786458;1.0;0.5225456566037378;0.0;0.0;0.8815255379239529;0.7740211201786458;party1_utility.xml;party4_utility.xml
0.014;13;;60rounds;Yes;No;2;0.85714;1.00000;0.00000;0.09778;1.85714;Agent17@68;ConcederNegotiationParty@69;0.9999999999999999;0.8571398318973587;0.9999999999999999;0.8571398318973587;0.905415586312434;0.5939342775841913;0.0;0.0;0.9999999999999999;0.8571398318973587;party1_utility.xml;party4_utility.xml
0.029;54;;60rounds;Yes;No;2;0.89578;0.94042;0.00000;0.03934;1.83620;BoulwareNegotiationParty@70;kawaii@71;0.8957816487337201;0.9404175859903591;0.8957816487337201;0.9404175859903591;0.7237475175150816;0.9039791245568084;0.0;0.0;0.8957816487337201;0.9404175859903591;party1_utility.xml;party4_utility.xml
0.011;18;;60rounds;Yes;No;2;0.61379;0.95243;0.10632;0.32041;1.56622;ConcederNegotiationParty@72;kawaii@73;0.6137940633727111;0.9524282207813943;0.6137940633727111;0.9524282207813943;0.4939627700117808;0.9999999999999999;0.0;0.0;0.6137940633727111;0.9524282207813943;party1_utility.xml;party4_utility.xml
0.033;61;;60rounds;No;No;1;0.00000;0.00000;1.22577;1.31661;0.00000;kawaii@74;kawaii@75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party4_utility.xml
0.037;61;;60rounds;No;No;1;0.00000;0.00000;1.22577;1.31661;0.00000;DrageKnight@76;kawaii@77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party4_utility.xml
0.041;49;;60rounds;Yes;No;2;0.75315;0.91663;0.07192;0.18057;1.66978;Agent17@78;kawaii@79;0.7531502169881481;0.9166316963810562;0.7531502169881481;0.9166316963810562;0.5419646554386731;0.9186849923333494;0.0;0.0;0.7531502169881481;0.9166316963810562;party1_utility.xml;party4_utility.xml
0.953;56;;60rounds;Yes;No;2;0.64578;0.90482;0.11420;0.28853;1.55060;BoulwareNegotiationParty@80;DrageKnight@81;0.6457783799036612;0.9048185552164826;0.6457783799036612;0.9048185552164826;0.4719666656238698;0.8007810644370196;0.0;0.0;0.6457783799036612;0.9048185552164826;party1_utility.xml;party4_utility.xml
0.283;18;;60rounds;Yes;No;2;0.61379;0.95243;0.10632;0.32041;1.56622;ConcederNegotiationParty@82;DrageKnight@83;0.6137940633727111;0.9524282207813943;0.6137940633727111;0.9524282207813943;0.4939627700117808;0.9999999999999999;0.0;0.0;0.6137940633727111;0.9524282207813943;party1_utility.xml;party4_utility.xml
1.045;61;;60rounds;No;No;1;0.00000;0.00000;1.22577;1.31661;0.00000;kawaii@84;DrageKnight@85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party4_utility.xml
0.953;57;;60rounds;Yes;No;2;0.73780;0.86576;0.16292;0.20246;1.60355;DrageKnight@86;DrageKnight@87;0.865757967526055;0.737795814778623;0.865757967526055;0.737795814778623;0.7819554923893283;0.6000670168953219;0.0;0.0;0.865757967526055;0.737795814778623;party1_utility.xml;party4_utility.xml
0.913;50;;60rounds;Yes;No;2;0.80069;0.89285;0.10632;0.13737;1.69354;Agent17@88;DrageKnight@89;0.8006940275700054;0.8928458067717534;0.8006940275700054;0.8928458067717534;0.6153179746918093;0.9565268431723467;0.0;0.0;0.8006940275700054;0.8928458067717534;party1_utility.xml;party4_utility.xml
0.039;47;;60rounds;Yes;No;2;0.82139;0.96666;0.04771;0.11233;1.78804;BoulwareNegotiationParty@90;Agent17@91;0.9666591843499099;0.8213850292781263;0.9666591843499099;0.8213850292781263;0.8764250493181027;0.5790043809984198;0.0;0.0;0.9666591843499099;0.8213850292781263;party1_utility.xml;party4_utility.xml
