sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Util. 1;User Util. 2;User Util. 3;User Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
0.144;59;;60rounds;Yes;No;4;0.53546;0.88333;0.00000;0.33232;2.79003;Agent17@40;BoulwareNegotiationParty@41;Agent17@42;BoulwareNegotiationParty@43;0.6141025954082927;0.8833333650274556;0.7571313669703409;0.5354601767668591;0.6141025954082927;0.8833333650274556;0.7571313669703409;0.5354601767668591;0.563755127283243;0.9089090657657394;0.4507748980918248;0.4461874051461956;0.0;0.0;0.0;0.0;0.6141025954082927;0.8833333650274556;0.7571313669703409;0.5354601767668591;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.101;53;;60rounds;Yes;No;4;0.48730;0.85304;0.09417;0.51487;2.59374;ConcederNegotiationParty@44;BoulwareNegotiationParty@45;Agent17@46;BoulwareNegotiationParty@47;0.4872990210519366;0.49151873654955663;0.853036721167466;0.7618894126438379;0.4872990210519366;0.49151873654955663;0.853036721167466;0.7618894126438379;0.32600375890604594;0.6301885296108123;0.6122069330831549;0.7308563908431549;0.0;0.0;0.0;0.0;0.4872990210519366;0.49151873654955663;0.853036721167466;0.7618894126438379;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.144;60;;60rounds;Yes;No;4;0.60501;0.75139;0.09182;0.29740;2.75763;BoulwareNegotiationParty@48;Agent17@49;Agent17@50;BoulwareNegotiationParty@51;0.663284535249528;0.6050096710857931;0.7513854055992949;0.7379489547411919;0.663284535249528;0.6050096710857931;0.7513854055992949;0.7379489547411919;0.6147910994845553;0.5577384208410865;0.6811248745994979;0.5773593920318704;0.0;0.0;0.0;0.0;0.663284535249528;0.6050096710857931;0.7513854055992949;0.7379489547411919;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.144;60;;60rounds;Yes;No;4;0.59526;0.76259;0.09347;0.30198;2.65306;Agent17@52;Agent17@53;Agent17@54;BoulwareNegotiationParty@55;0.7625894799479278;0.6082108549215848;0.6869960406678931;0.5952635016570594;0.7625894799479278;0.6082108549215848;0.6869960406678931;0.5952635016570594;0.6788302984385802;0.5407096249086069;0.5217841984911898;0.287620222141254;0.0;0.0;0.0;0.0;0.7625894799479278;0.6082108549215848;0.6869960406678931;0.5952635016570594;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.122;57;;60rounds;Yes;No;4;0.53284;0.91559;0.07412;0.44525;2.71253;ConcederNegotiationParty@56;Agent17@57;Agent17@58;BoulwareNegotiationParty@59;0.532841209876778;0.6449535796276651;0.9155946527793031;0.6191446396520115;0.532841209876778;0.6449535796276651;0.9155946527793031;0.6191446396520115;0.543241621628064;0.3777178366606496;0.7459908716069765;0.45648922840628914;0.0;0.0;0.0;0.0;0.532841209876778;0.6449535796276651;0.9155946527793031;0.6191446396520115;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.103;54;;60rounds;Yes;No;4;0.42300;0.83994;0.09655;0.48337;2.64667;BoulwareNegotiationParty@60;ConcederNegotiationParty@61;Agent17@62;BoulwareNegotiationParty@63;0.6338043512123586;0.4230003477566933;0.8399373202907181;0.7499237701628403;0.6338043512123586;0.4230003477566933;0.8399373202907181;0.7499237701628403;0.5656123574253058;0.5743047697998868;0.5260233706480597;0.5929214586004191;0.0;0.0;0.0;0.0;0.6338043512123586;0.4230003477566933;0.8399373202907181;0.7499237701628403;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.123;55;;60rounds;Yes;No;4;0.35553;0.84819;0.00000;0.49559;2.82556;Agent17@64;ConcederNegotiationParty@65;Agent17@66;BoulwareNegotiationParty@67;0.8481903574950631;0.35552833518342924;0.7885386316190809;0.8333051145432183;0.8481903574950631;0.35552833518342924;0.7885386316190809;0.8333051145432183;0.6779316900182678;0.20533362843803593;0.7919546114950118;0.6982698454377207;0.0;0.0;0.0;0.0;0.8481903574950631;0.35552833518342924;0.7885386316190809;0.8333051145432183;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.082;43;;60rounds;Yes;No;4;0.39638;0.95796;0.00000;0.57525;2.88475;ConcederNegotiationParty@68;ConcederNegotiationParty@69;Agent17@70;BoulwareNegotiationParty@71;0.6137354961042047;0.39638078228247936;0.9579557861297675;0.916673418162162;0.6137354961042047;0.39638078228247936;0.9579557861297675;0.916673418162162;0.56027722653906;0.26717350519217214;1.0;0.8792475493734132;0.0;0.0;0.0;0.0;0.6137354961042047;0.39638078228247936;0.9579557861297675;0.916673418162162;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.094;58;;60rounds;Yes;No;4;0.61103;0.81014;0.07340;0.19408;2.81802;BoulwareNegotiationParty@72;BoulwareNegotiationParty@73;ConcederNegotiationParty@74;BoulwareNegotiationParty@75;0.8101420135954405;0.682631349312207;0.6110347144993911;0.7142118928767266;0.8101420135954405;0.682631349312207;0.6110347144993911;0.7142118928767266;0.8174118151817072;0.4810911596679598;0.4545610611445179;0.4041885995632527;0.0;0.0;0.0;0.0;0.8101420135954405;0.682631349312207;0.6110347144993911;0.7142118928767266;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.111;58;;60rounds;Yes;No;4;0.61103;0.81014;0.07340;0.19408;2.81802;Agent17@76;BoulwareNegotiationParty@77;ConcederNegotiationParty@78;BoulwareNegotiationParty@79;0.8101420135954405;0.682631349312207;0.6110347144993911;0.7142118928767266;0.8101420135954405;0.682631349312207;0.6110347144993911;0.7142118928767266;0.8174118151817072;0.4810911596679598;0.4545610611445179;0.4041885995632527;0.0;0.0;0.0;0.0;0.8101420135954405;0.682631349312207;0.6110347144993911;0.7142118928767266;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
